Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
HM-10-1,HM,4600,3500,-1100,5.5,Warming,Non-inverted,4.39560266,2946.495863,12.66666667,5.671252855,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-10-2,HM,4600,3500,-1100,5.5,Warming,Non-inverted,5.882226716,2946.495863,12.58333333,7.589310871,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-10-3,HM,4600,3500,-1100,5.5,Warming,Non-inverted,3.54202635,2946.495863,11.91,4.569959708,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-10-4,HM,4600,3500,-1100,5.5,Warming,Non-inverted,12.15057304,2946.495863,12.91,15.67679733,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-10-5,HM,4600,3500,-1100,5.5,Warming,Non-inverted,4.038227938,2946.495863,11.25,5.210164223,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-5-1,HM,4600,3500,-1100,5.5,Warming,Non-inverted,5.613323572,2946.495863,11.66666667,7.242369202,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-5-2,HM,4600,3500,-1100,5.5,Warming,Non-inverted,6.82192929,2946.495863,11.45333333,8.80172503,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-5-3,HM,4600,3500,-1100,5.5,Warming,Non-inverted,5.099009848,2946.495863,12.69666667,6.578796218,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-5-4,HM,4600,3500,-1100,5.5,Warming,Non-inverted,13.60704305,2946.495863,11.47,17.55595028,7.6,13.05,5.45,53.66,5.37,0.183415617
HM-5-5,HM,4600,3500,-1100,5.5,Warming,Non-inverted,3.891300868,2946.495863,13.325,5.02059737,7.6,13.05,5.45,53.66,5.37,0.183415617
HMR-10-1,HMR,4600,3500,-1100,5.5,Warming,Inverted,3.962872384,2946.495863,11.96666667,5.112939694,7.6,13.05,5.45,53.66,5.37,0.183415617
HMR-10-2,HMR,4600,3500,-1100,5.5,Warming,Inverted,4.442006388,2946.495863,12.59333333,5.731123432,7.6,13.05,5.45,53.66,5.37,0.183415617
HMR-10-3,HMR,4600,3500,-1100,5.5,Warming,Inverted,6.25490511,2946.495863,13.29333333,8.07014446,7.6,13.05,5.45,53.66,5.37,0.183415617
