Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,SR,E.Changed,Temp.O,Temp.D,delta.T,Silt_clay,pH,TN
MHR-10-1,MHR,3500,4600,1100,-5.5,Cooling,Inverted,3.96128,3029.141501,9.465,4.971442253,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-10-2,MHR,3500,4600,1100,-5.5,Cooling,Inverted,1.231870667,3029.141501,8.813333333,1.546008836,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-10-3,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.7683345,3029.141501,8.12,0.964266752,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-10-4,MHR,3500,4600,1100,-5.5,Cooling,Inverted,3.918446667,3029.141501,9.543333333,4.917686032,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-10-5,MHR,3500,4600,1100,-5.5,Cooling,Inverted,2.78561,3029.141501,10.16,3.495965762,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-5-1,MHR,3500,4600,1100,-5.5,Cooling,Inverted,3.04947,3029.141501,9.703333333,3.82711245,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-5-2,MHR,3500,4600,1100,-5.5,Cooling,Inverted,1.485289333,3029.141501,8.98,1.864051556,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-5-3,MHR,3500,4600,1100,-5.5,Cooling,Inverted,3.10587,3029.141501,15.01,3.897894961,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-5-4,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.787494,3029.141501,9.543333333,0.988312097,1100,13,7.66,-5.34,57.26,6.08,0.192581444
MHR-5-5,MHR,3500,4600,1100,-5.5,Cooling,Inverted,0.897712667,3029.141501,9.406666667,1.126637522,1100,13,7.66,-5.34,57.26,6.08,0.192581444
HL-10-1,HL,4600,2400,-2200,11.1,Warming,Non-inverted,7.348023333,2946.495863,20.64666667,9.480497107,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-10-2,HL,4600,2400,-2200,11.1,Warming,Non-inverted,5.36157,2946.495863,21.305,6.917554091,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-10-3,HL,4600,2400,-2200,11.1,Warming,Non-inverted,14.9921,2946.495863,20.28,19.34296534,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-10-4,HL,4600,2400,-2200,11.1,Warming,Non-inverted,9.123993333,2946.495863,21.32333333,11.77187231,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-10-5,HL,4600,2400,-2200,11.1,Warming,Non-inverted,6.17588,2946.495863,18.86,7.968185431,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-5-1,HL,4600,2400,-2200,11.1,Warming,Non-inverted,5.94239,2946.495863,20.225,7.666934173,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-5-2,HL,4600,2400,-2200,11.1,Warming,Non-inverted,3.432715,2946.495863,20.05,4.428925052,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-5-3,HL,4600,2400,-2200,11.1,Warming,Non-inverted,9.914475667,2946.495863,21.57333333,12.79176094,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-5-4,HL,4600,2400,-2200,11.1,Warming,Non-inverted,4.2110085,2946.495863,19.785,5.433087524,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HL-5-5,HL,4600,2400,-2200,11.1,Warming,Non-inverted,2.9002,2946.495863,20.11,3.74186859,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-10-1,HLR,4600,2400,-2200,11.1,Warming,Inverted,3.753896667,2946.495863,21.74,4.843317022,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-10-2,HLR,4600,2400,-2200,11.1,Warming,Inverted,6.3393255,2946.495863,19.5025,8.179064537,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-10-3,HLR,4600,2400,-2200,11.1,Warming,Inverted,6.797074,2946.495863,20.10666667,8.769656473,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-10-4,HLR,4600,2400,-2200,11.1,Warming,Inverted,3.938423333,2946.495863,21.01666667,5.081395271,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-10-5,HLR,4600,2400,-2200,11.1,Warming,Inverted,9.460563333,2946.495863,20.86333333,12.20611847,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-5-1,HLR,4600,2400,-2200,11.1,Warming,Inverted,10.039125,2946.495863,20.41,12.95258482,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-5-2,HLR,4600,2400,-2200,11.1,Warming,Inverted,2.94418975,2946.495863,20.4475,3.798624629,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-5-3,HLR,4600,2400,-2200,11.1,Warming,Inverted,5.998977333,2946.495863,20.80666667,7.739943747,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-5-4,HLR,4600,2400,-2200,11.1,Warming,Inverted,7.52675,2946.495863,21.33333333,9.711092135,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HLR-5-5,HLR,4600,2400,-2200,11.1,Warming,Inverted,5.30007,2946.495863,21.7825,6.838206143,-2200,7.66,17.86,10.2,53.66,5.37,0.183415617
HM-10-1,HM,4600,3500,-1100,5.5,Warming,Non-inverted,5.433023333,2946.495863,12.66666667,7.009743935,-1100,7.66,13,5.34,53.66,5.37,0.183415617
HM-10-2,HM,4600,3500,-1100,5.5,Warming,Non-inverted,2.39925,2946.495863,12.58333333,3.095537623,-1100,7.66,13,5.34,53.66,5.37,0.183415617
