Label,Treat,Origin.E,Destination.E,Changed.E,Changed.T,Direction.T,Direction,Flux,Stocks,T4,V4,SR,Temp.O,Temp.D,delta.T,E.Changed,Silt_clay,pH,TN
MR-10-2,MR,3500,3500,0,0,Stabilized,Inverted,0.281154,3029.141501,0.98,1.2535,0.352850815,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-10-3,MR,3500,3500,0,0,Stabilized,Inverted,0.461199667,3029.141501,0.483333333,1.328666667,0.578809756,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-10-4,MR,3500,3500,0,0,Stabilized,Inverted,0.161107267,3029.141501,-0.97,1.216333333,0.202191078,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-10-5,MR,3500,3500,0,0,Stabilized,Inverted,0.353993,3029.141501,-0.72,1.287666667,0.444264419,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-5-1,MR,3500,3500,0,0,Stabilized,Inverted,0.1382062,3029.141501,-2.486666667,1.253333333,0.173450032,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-5-2,MR,3500,3500,0,0,Stabilized,Inverted,0.336172333,3029.141501,-2.553333333,1.172,0.421899321,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-5-3,MR,3500,3500,0,0,Stabilized,Inverted,0.469895,3029.141501,-2.23,1.135,0.589722478,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-5-4,MR,3500,3500,0,0,Stabilized,Inverted,0.390772333,3029.141501,-1.893333333,1.123,0.490422815,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MR-5-5,MR,3500,3500,0,0,Stabilized,Inverted,0.072169533,3029.141501,-0.21,1.138333333,0.090573418,0.99,0.99,0,34_0,57.26,6.08,0.192581444
MH-10-1,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,1.26705025,3029.141501,0.365,1.3785,1.590159532,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-10-2,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.340287584,3029.141501,0.453333333,1.356666667,0.427063998,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-10-3,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,2.466540333,3029.141501,0.596666667,1.363333333,3.095530443,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-10-4,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.535997333,3029.141501,0.58,1.399666667,0.672681505,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-10-5,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,1.946543333,3029.141501,-1.143333333,1.373666667,2.442929501,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-5-1,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.7568402,3029.141501,0.106755667,1.270235667,0.9498413,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-5-2,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.630057667,3029.141501,0.77,1.162333333,0.790728074,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
MH-5-3,MH,3500,4600,1100,-5.5,Cooling,Non-inverted,0.363392877,3029.141501,-0.645,1.0385,0.456061349,0.99,0.39,-0.6,1100,57.26,6.08,0.192581444
